Naive Bayes,J48,OneR,JRip no prune,IbK 3,LibSVM,Multilayer
7,4,6,3,1,5,2
4,2,7,6,1,4,4
6.5,1,6.5,2,3.5,5,3.5
6,3,7,4,2,5,1
6,1.5,7,3,1.5,5,4
6,3,7,4,1,5,2
5,2.5,6.5,6.5,1,4,2.5
6,3,7,4,1,5,2
6.5,1.5,6.5,3.5,1.5,5,3.5
7,1,6,4,2,5,3
7,2,6,4,3,5,1
6.5,1.5,6.5,3,1.5,4.5,4.5
6.5,1,6.5,2,3,5,4
5.5,2.5,7,2.5,1,5.5,4
5.5,1.5,7,3,1.5,5.5,4
5.5,3,7,1,2,4,5.5
5.5,1.5,7,4,1.5,5.5,3
4.5,2,7,3,1,4.5,6
6,1,7,3,2,5,4
5,1.5,7,4,1.5,6,3
5.5,2,5.5,3,1,4,7
4.5,2,7,6,3,4.5,1
6,1,7,4,2.5,5,2.5
7,1.5,5.5,3.5,1.5,5.5,3.5
5,1.5,7,3,1.5,5,5
6.5,2,6.5,4,1,5,3
5,2,6.5,2,2,6.5,4
5.5,1,7,3.5,3.5,5.5,2
6,1,7,3,2,5,4
4.5,1,6,3,2,7,4.5
